"iv_malla_modi_id","mq_evi_mean","mq_evi_cv","mq_max","mq_evi_meanL","mq_evi_cvL","clu"
165163,2,4,1,"B","d","Bd1"
165164,2,4,1,"B","d","Bd1"
165165,2,4,1,"B","d","Bd1"
165166,2,4,1,"B","d","Bd1"
165167,2,4,1,"B","d","Bd1"
165168,2,4,1,"B","d","Bd1"
165169,2,4,1,"B","d","Bd1"
165170,2,4,1,"B","d","Bd1"
165171,2,4,1,"B","d","Bd1"
165172,2,3,1,"B","c","Bc1"
165173,2,3,1,"B","c","Bc1"
165174,2,3,1,"B","c","Bc1"
165175,2,3,1,"B","c","Bc1"
165837,3,3,1,"C","c","Cc1"
165838,3,3,1,"C","c","Cc1"
165839,2,3,1,"B","c","Bc1"
165840,2,3,1,"B","c","Bc1"
165841,2,4,1,"B","d","Bd1"
165842,2,4,1,"B","d","Bd1"
165843,2,4,1,"B","d","Bd1"
165844,1,4,1,"A","d","Ad1"
165845,2,4,1,"B","d","Bd1"
165846,2,4,1,"B","d","Bd1"
165847,2,4,1,"B","d","Bd1"
165848,2,4,1,"B","d","Bd1"
165849,2,4,1,"B","d","Bd1"
165850,2,4,1,"B","d","Bd1"
165851,2,4,1,"B","d","Bd1"
165852,3,2,1,"C","b","Cb1"
165853,2,2,1,"B","b","Bb1"
165854,2,3,1,"B","c","Bc1"
165855,3,3,1,"C","c","Cc1"
166520,1,3,1,"A","c","Ac1"
166521,1,4,1,"A","d","Ad1"
166522,1,4,2,"A","d","Ad2"
166523,1,4,1,"A","d","Ad1"
166524,2,4,1,"B","d","Bd1"
166525,2,4,1,"B","d","Bd1"
166526,2,4,1,"B","d","Bd1"
166527,2,4,1,"B","d","Bd1"
166528,2,4,1,"B","d","Bd1"
166529,3,3,1,"C","c","Cc1"
166530,3,3,1,"C","c","Cc1"
166531,3,3,1,"C","c","Cc1"
166532,3,2,1,"C","b","Cb1"
166533,3,2,1,"C","b","Cb1"
166534,2,3,1,"B","c","Bc1"
167201,1,4,1,"A","d","Ad1"
167202,1,4,1,"A","d","Ad1"
167203,1,4,1,"A","d","Ad1"
